_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
178,Pittsburgh Penguins vs. New Jersey Devils,G5vbZ9CkhZvzQ,Hockey,79.0,999.0,2022-08-02T14:00:00Z,2022-08-03T13:59:00Z,2022-08-03T14:00:00Z,2022-12-31T00:30:00Z,2022-12-30T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o8f, K8vZ9171oyV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
179,Detroit Red Wings vs. Ottawa Senators,vvG1OZ9uMPA4fh,Hockey,79.0,385.0,2022-07-07T14:00:00Z,2023-01-01T00:00:00Z,2022-08-05T14:00:00Z,2023-01-01T00:00:00Z,2022-12-31T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171oB0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
180,New Jersey Devils vs. Boston Bruins,vvG1FZ9ChlxUNT,Hockey,101.0,465.0,2022-11-15T14:00:00Z,2022-11-21T04:59:00Z,2022-08-11T14:00:00Z,2022-12-24T01:00:00Z,2022-12-23T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171oyV, K8vZ9171o27",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
181,Philadelphia 76ers vs. Toronto Raptors,vvG1FZ92wuBfk7,Basketball,20.0,400.0,2022-09-15T13:00:00Z,2022-09-16T14:00:00Z,2022-09-16T14:00:00Z,2022-12-20T00:00:00Z,2022-12-19T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZ0, K8vZ9171KC0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
182,Detroit Red Wings vs. New Jersey Devils,vvG1OZ9uMPkAfq,Hockey,65.0,325.0,2022-07-07T14:00:00Z,2023-01-05T00:00:00Z,2022-08-05T14:00:00Z,2023-01-05T00:00:00Z,2023-01-04T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171oyV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
183,Boston Bruins vs. Seattle Kraken,vvG17Z9uDXNy5h,Hockey,145.0,1541.5,2022-07-07T14:00:00Z,2022-07-07T17:55:00Z,2022-07-07T18:00:00Z,2023-01-13T01:00:00Z,2023-01-12T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o27, K8vZ917_vgV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
184,New York Knicks vs. Golden State Warriors,G5diZ9oemBo9G,Basketball,125.0,8322.5,2022-09-13T14:00:00Z,2022-09-15T13:59:00Z,2022-09-15T14:00:00Z,2022-12-21T01:00:00Z,2022-12-20T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171o57, K8vZ9171oa0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
185,Houston Texans vs. Jacksonville Jaguars,G5dIZ91KhRMYb,Football,53.0,466.0,2022-05-13T00:00:00Z,2022-05-13T01:00:00Z,2022-05-13T00:00:00Z,2023-01-01T19:00:00Z,2023-01-01T00:00:00.000-05:00,NFL REGULAR SEASON,"K8vZ91756Kf, K8vZ9171poV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
186,Los Angeles Lakers vs. Miami Heat,G5eYZ98HuMYSe,Basketball,110.0,1000.0,2022-08-29T22:00:00Z,2022-08-30T05:00:00Z,2022-08-30T17:00:00Z,2023-01-05T03:00:00Z,2023-01-04T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ91718T0, K8vZ9171oZ7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
187,New Jersey Devils vs. Boston Bruins,vvG1FZ9ChlNJ0A,Hockey,115.0,523.0,2022-11-15T14:00:00Z,2022-11-21T04:59:00Z,2022-08-11T14:00:00Z,2022-12-29T01:00:00Z,2022-12-28T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171oyV, K8vZ9171o27",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
