_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
42,Washington Commanders vs. Dallas Cowboys,G5vfZ9a3x9oSb,Football,80.0,630.0,2022-05-13T00:00:00Z,2023-01-08T18:00:00Z,2022-05-13T00:00:00Z,2023-01-08T23:25:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171oM0, K8vZ9171oG0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
43,P!NK: Summer Carnival 2023,vvG1FZ9pLpUSiL,Rock,39.95,389.95,2022-11-16T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-09-19T00:30:00Z,2023-09-18,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
44,Brooklyn Nets vs. New York Knicks,Z7r9jZ1Ad4s-_,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-28T22:30:00Z,2023-01-28,NA,"K8vZ9171o5f, K8vZ9171o57",UNKNOWN,UNKNOWN
45,Shania Twain: Queen Of Me Tour,G5viZ9435Gx2u,Country,61.95,246.95,2022-10-25T15:00:00Z,2022-10-28T03:00:00Z,2022-10-28T15:00:00Z,2023-06-08T00:30:00Z,2023-06-07,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917KkmV, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
46,Buffalo Bills vs. New England Patriots,k7vGF9anxbJ4R,Football,45.0,175.0,NA,NA,2022-05-13T00:00:00Z,2023-01-08T19:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171oGf, K8vZ9171ouf",TICKETS_AVAILABLE,TICKETS_NOT_AVAILABLE
47,P!NK: Summer Carnival 2023,vvG1OZ9pNPuVvv,Rock,44.95,344.95,2022-11-19T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-08-16T22:30:00Z,2023-08-16,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
48,P!NK: Summer Carnival 2023,G5vbZ9kb-A6LJ,Rock,39.95,349.95,2022-11-16T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-08-05T22:30:00Z,2023-08-05,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
49,New Orleans Pelicans vs. Los Angeles Lakers,Z7r9jZ1Ad4w1d,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-05T01:00:00Z,2023-02-04,NA,"K8vZ9171oaV, K8vZ91718T0",UNKNOWN,UNKNOWN
50,P!NK: Summer Carnival 2023,vvG1bZ9p96uphM,Rock,39.95,999.95,2022-11-16T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-08-11T02:00:00Z,2023-08-10,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ91712h0, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
51,P!NK: Summer Carnival 2023,G5vVZ9pntZouz,Rock,50.95,404.95,2022-11-16T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-08-04T01:00:00Z,2023-08-03,LIVE NATION - NO LN CONCERTS BRANDING,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
52,P!NK: Summer Carnival 2023,G5vbZ9plhI67F,Rock,39.95,319.95,2022-11-16T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-07-26T23:30:00Z,2023-07-26,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
53,P!NK: Summer Carnival 2023,G5v0Z9pjKn7dG,Rock,39.95,359.95,2022-11-16T17:00:00Z,2022-11-21T06:00:00Z,2022-11-21T17:00:00Z,2023-10-10T04:00:00Z,2023-10-09,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
54,P!NK: Summer Carnival 2023,vvG1jZ9p0tjAiJ,Rock,39.95,999.95,2022-11-19T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-08-15T00:00:00Z,2023-08-14,FRANK PRODUCTIONS,"K8vZ9171Jo7, K8vZ91712h0, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
55,Chicago Bears vs. Minnesota Vikings,vvG18Z96kQMvfW,Football,83.0,587.0,2022-05-13T00:00:00Z,2022-05-13T01:00:00Z,2022-05-13T01:30:00Z,2023-01-08T19:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171ou7, K8vZ9171oM7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
56,Falcons vs. Buccaneers,vvG1zZ9a9stAJt,Football,75.0,510.0,2022-05-13T00:00:00Z,2022-05-16T03:59:00Z,2022-05-13T00:00:00Z,2023-01-08T20:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171ou0, K8vZ9171oCV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
57,Miami Dolphins v. New York Jets,vvG1VZ9FMjKWvu,Football,85.0,815.0,2022-05-12T23:45:00Z,2022-05-14T03:59:00Z,2022-05-12T23:45:00Z,2023-01-08T19:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171ogf, K8vZ9171oGV",TICKETS_AVAILABLE,TICKETS_NOT_AVAILABLE
58,P!NK: Summer Carnival 2023,G5vfZ9pKec7vp,Rock,45.95,355.95,2022-11-16T15:00:00Z,2022-11-21T04:00:00Z,2022-11-21T15:00:00Z,2023-08-08T01:00:00Z,2023-08-07,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ91712h0, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
59,P!NK: Summer Carnival 2023,G5viZ9ph7l0Du,Rock,49.95,399.95,2022-11-19T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-09-23T00:30:00Z,2023-09-22,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
60,Shania Twain: Queen Of Me Tour,vvG18Z94NJbSAb,Country,40.95,240.95,2022-11-03T15:00:00Z,2022-11-04T03:00:00Z,2022-11-04T15:00:00Z,2023-07-02T02:30:00Z,2023-07-01,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_940",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
61,Shania Twain: Queen Of Me Tour,vvG1fZ949qhf4C,Country,39.95,249.95,2022-11-01T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-07-16T01:30:00Z,2023-07-15,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
62,Shania Twain: Queen Of Me Tour,G5vbZ940HyJDE,Country,45.95,225.95,2022-11-03T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-07-14T01:30:00Z,2023-07-13,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
63,Denver Broncos vs. Los Angeles Chargers,G5vzZ9a9fA3mh,Football,72.0,445.0,NA,NA,2022-05-13T00:00:00Z,2023-01-08T22:25:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171og7, K8vZ9171og0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
64,P!NK: Summer Carnival 2023,vvG1IZ9pNeVNoR,Rock,55.95,405.95,2022-11-16T18:00:00Z,2022-11-21T07:00:00Z,2022-11-21T18:00:00Z,2023-10-06T04:00:00Z,2023-10-05,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ91712h0, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
65,Shania Twain: Queen Of Me Tour,G5eVZ94L3b7SJ,Country,60.95,260.95,2022-11-01T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-06-29T01:30:00Z,2023-06-28,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_940",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
66,Shania Twain: Queen Of Me Tour,vvG1YZ94E4EgM4,Country,55.95,265.95,2022-11-01T15:00:00Z,2022-11-04T03:00:00Z,2022-11-04T15:00:00Z,2023-07-22T02:30:00Z,2023-07-21,LIVE NATION MUSIC,K8vZ91719n0,TICKETS_AVAILABLE,FEW_TICKETS_LEFT
67,Shania Twain: Queen Of Me Tour,vvG1fZ94EIJNw5,Country,60.95,260.95,2022-11-03T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-07-01T01:30:00Z,2023-06-30,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_940",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
68,Shania Twain: Queen Of Me Tour,k7vGF94xB_sBY,Country,40.95,925.95,2022-11-01T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-07-09T01:30:00Z,2023-07-08,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
